| 对象 | 当前名称 | 问题 | 建议名称 |
|------|----------|------|----------|
| __efmigrationshistory.MigrationId | MigrationId | 字段名应使用小写下划线命名法 | migration_id |
| __efmigrationshistory.ProductVersion | ProductVersion | 字段名应使用小写下划线命名法 | product_version |
| __efmigrationshistory.ProductVersion | ProductVersion | 外键字段应以下划线_id结尾 | product_version_id |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Id | Id | 字段名应使用小写下划线命名法 | id |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Username | Username | 字段名应使用小写下划线命名法 | username |
| adminusers.Username | Username | 外键字段应以下划线_id结尾 | username_id |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.PasswordHash | PasswordHash | 字段名应使用小写下划线命名法 | password_hash |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Role | Role | 字段名应使用小写下划线命名法 | role |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.CreatedAt | CreatedAt | 字段名应使用小写下划线命名法 | created_at |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Avatar | Avatar | 字段名应使用小写下划线命名法 | avatar |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.CreatedBy | CreatedBy | 字段名应使用小写下划线命名法 | created_by |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.DeletedAt | DeletedAt | 字段名应使用小写下划线命名法 | deleted_at |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Email | Email | 字段名应使用小写下划线命名法 | email |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.IsDeleted | IsDeleted | 字段名应使用小写下划线命名法 | is_deleted |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.NickName | NickName | 字段名应使用小写下划线命名法 | nick_name |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Phone | Phone | 字段名应使用小写下划线命名法 | phone |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.Status | Status | 字段名应使用小写下划线命名法 | status |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.UpdatedAt | UpdatedAt | 字段名应使用小写下划线命名法 | updated_at |
| adminusers | adminusers | 表名应使用小写+下划线 | adminusers |
| adminusers.UpdatedBy | UpdatedBy | 字段名应使用小写下划线命名法 | updated_by |
| blacklistedtokens | blacklistedtokens | 表名应使用小写+下划线 | blacklistedtokens |
| blacklistedtokens.Id | Id | 字段名应使用小写下划线命名法 | id |
| blacklistedtokens | blacklistedtokens | 表名应使用小写+下划线 | blacklistedtokens |
| blacklistedtokens.Token | Token | 字段名应使用小写下划线命名法 | token |
| blacklistedtokens | blacklistedtokens | 表名应使用小写+下划线 | blacklistedtokens |
| blacklistedtokens.ExpiredAt | ExpiredAt | 字段名应使用小写下划线命名法 | expired_at |
| blacklistedtokens | blacklistedtokens | 表名应使用小写+下划线 | blacklistedtokens |
| blacklistedtokens.CreatedAt | CreatedAt | 字段名应使用小写下划线命名法 | created_at |
| categories | categories | 表名应使用小写+下划线 | categories |
| categories.Id | Id | 字段名应使用小写下划线命名法 | id |
| categories | categories | 表名应使用小写+下划线 | categories |
| categories.Name | Name | 字段名应使用小写下划线命名法 | name |
| categories | categories | 表名应使用小写+下划线 | categories |
| categories.Slug | Slug | 字段名应使用小写下划线命名法 | slug |
